Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || Pnickies (Japan) (pnickj) || Other/Arcade/Pnickies (Japan) (pnickj)/Pnickies (Japan) (pnickj).json
Arcade || Pong (World) (pong) || Other/Arcade/Pong (World) (pong)/Pong (World) (pong).json
Arcade || Poolshark (World) (poolshrk) || Other/Arcade/Poolshark (World) (poolshrk)/Poolshark (World) (poolshrk).json
Arcade || Pooyan (World) (pooyan) || Other/Arcade/Pooyan (World) (pooyan)/Pooyan (World) (pooyan).json
Arcade || Prehistoric Isle in 1930 (World) (prehisle) || Other/Arcade/Prehistoric Isle in 1930 (World) (prehisle)/Prehistoric Isle in 1930 (World) (prehisle).json
Arcade || Primal Rage (World) (primrage) || Other/Arcade/Primal Rage (World) (primrage)/Primal Rage (World) (primrage).json
Arcade || Progear (USA) (progear) || Other/Arcade/Progear (USA) (progear)/Progear (USA) (progear).json
Arcade || Psycho Soldier (USA) (psychos) || Other/Arcade/Psycho Soldier (USA) (psychos)/Psycho Soldier (USA) (psychos).json
Arcade || Quantum (World) (quantum) || Other/Arcade/Quantum (World) (quantum)/Quantum (World) (quantum).json
Arcade || Quiz & Dragons - Capcom Quiz Game (USA) (qad) || Other/Arcade/Quiz & Dragons - Capcom Quiz Game (USA) (qad)/Quiz & Dragons - Capcom Quiz Game (USA) (qad).json
Arcade || Rally-X (World) (rallyx) || Other/Arcade/Rally-X (World) (rallyx)/Rally-X (World) (rallyx).json
Arcade || Rampage (World) (rampage) || Other/Arcade/Rampage (World) (rampage)/Rampage (World) (rampage).json
Arcade || Rampage - World Tour (World) (rmpgwt) || Other/Arcade/Rampage - World Tour (World) (rmpgwt)/Rampage - World Tour (World) (rmpgwt).json
Arcade || Rampart (World) (rampart) || Other/Arcade/Rampart (World) (rampart)/Rampart (World) (rampart).json
Arcade || Red Baron (World) (redbaron) || Other/Arcade/Red Baron (World) (redbaron)/Red Baron (World) (redbaron).json
Arcade || Road Blasters (World) (roadblst) || Other/Arcade/Road Blasters (World) (roadblst)/Road Blasters (World) (roadblst).json
Arcade || Road Fighter (World) (roadf) || Other/Arcade/Road Fighter (World) (roadf)/Road Fighter (World) (roadf).json
Arcade || Robotron - 2084 (World) (robotron) || Other/Arcade/Robotron - 2084 (World) (robotron)/Robotron - 2084 (World) (robotron).json
