Computer - Disc || Hot Tin Roof - The Cat That Wore a Fedora (USA) || Computer/Disc/H/Hot Tin Roof - The Cat That Wore a Fedora (USA)/Hot Tin Roof - The Cat That Wore a Fedora (USA).json
Computer - Disc || Hoyle Puzzle Games (USA) || Computer/Disc/H/Hoyle Puzzle Games (USA)/Hoyle Puzzle Games (USA).json
Computer - Disc || Hue (USA) || Computer/Disc/H/Hue (USA)/Hue (USA).json
Computer - Disc || Imscared - A Pixelated Nightmare (USA) || Computer/Disc/I/Imscared - A Pixelated Nightmare (USA)/Imscared - A Pixelated Nightmare (USA).json
Computer - Disc || Invisible, Inc (USA) || Computer/Disc/I/Invisible, Inc (USA)/Invisible, Inc (USA).json
Computer - Disc || Jeff Wayne's The War of the Worlds (USA) || Computer/Disc/J/Jeff Wayne's The War of the Worlds (USA)/Jeff Wayne's The War of the Worlds (USA).json
Computer - Disc || Jotun - Valhalla Edition (USA) || Computer/Disc/J/Jotun - Valhalla Edition (USA)/Jotun - Valhalla Edition (USA).json
Computer - Disc || Kingpin - Life of Crime (USA) || Computer/Disc/K/Kingpin - Life of Crime (USA)/Kingpin - Life of Crime (USA).json
Computer - Disc || Konami Collector's Series - Castlevania and Contra (USA) || Computer/Disc/K/Konami Collector's Series - Castlevania and Contra (USA)/Konami Collector's Series - Castlevania and Contra (USA).json
Computer - Disc || LEGO Creator - Harry Potter (USA) || Computer/Disc/L/LEGO Creator - Harry Potter (USA)/LEGO Creator - Harry Potter (USA).json
Computer - Disc || Land of the Dead - Road to Fiddler's Green (USA) || Computer/Disc/L/Land of the Dead - Road to Fiddler's Green (USA)/Land of the Dead - Road to Fiddler's Green (USA).json
Computer - Disc || Legend of Zelda, The - Link's Awakening DX HD (USA) || Computer/Disc/L/Legend of Zelda, The - Link's Awakening DX HD (USA)/Legend of Zelda, The - Link's Awakening DX HD (USA).json
Computer - Disc || Legend of Zelda, The - The Faces of Evil - Remastered (USA) || Computer/Disc/L/Legend of Zelda, The - The Faces of Evil - Remastered (USA)/Legend of Zelda, The - The Faces of Evil - Remastered (USA).json
Computer - Disc || Legend of Zelda, The - The Wand of Gamelon - Remastered (USA) || Computer/Disc/L/Legend of Zelda, The - The Wand of Gamelon - Remastered (USA)/Legend of Zelda, The - The Wand of Gamelon - Remastered (USA).json
Computer - Disc || Lightweight Ninja (USA) || Computer/Disc/L/Lightweight Ninja (USA)/Lightweight Ninja (USA).json
Computer - Disc || Lovely Planet (USA) || Computer/Disc/L/Lovely Planet (USA)/Lovely Planet (USA).json
Computer - Disc || Lovers in a Dangerous Spacetime (USA) || Computer/Disc/L/Lovers in a Dangerous Spacetime (USA)/Lovers in a Dangerous Spacetime (USA).json
Computer - Disc || Mahjong Mania (USA) || Computer/Disc/M/Mahjong Mania (USA)/Mahjong Mania (USA).json
Computer - Disc || Majesty 2 - The Fantasy Kingdom Sim (USA) || Computer/Disc/M/Majesty 2 - The Fantasy Kingdom Sim (USA)/Majesty 2 - The Fantasy Kingdom Sim (USA).json
Computer - Disc || Majesty Gold (USA) || Computer/Disc/M/Majesty Gold (USA)/Majesty Gold (USA).json
Computer - Disc || Marathon (USA) || Computer/Disc/M/Marathon (USA)/Marathon (USA).json
Computer - Disc || Marathon 2 - Durandal (USA) || Computer/Disc/M/Marathon 2 - Durandal (USA)/Marathon 2 - Durandal (USA).json
Computer - Disc || Marathon Infinity (USA) || Computer/Disc/M/Marathon Infinity (USA)/Marathon Infinity (USA).json
Computer - Disc || Mavis Beacon Teaches Typing! Version 3 (USA) || Computer/Disc/M/Mavis Beacon Teaches Typing! Version 3 (USA)/Mavis Beacon Teaches Typing! Version 3 (USA).json
Computer - Disc || Mega Man 2.5D (USA) || Computer/Disc/M/Mega Man 2.5D (USA)/Mega Man 2.5D (USA).json
Computer - Disc || Mega Man Eternal (USA) || Computer/Disc/M/Mega Man Eternal (USA)/Mega Man Eternal (USA).json
Computer - Disc || Mega Man Maker (USA) || Computer/Disc/M/Mega Man Maker (USA)/Mega Man Maker (USA).json
Computer - Disc || Mega Man X (USA) || Computer/Disc/M/Mega Man X (USA)/Mega Man X (USA).json
Computer - Disc || Mega Man X3 (USA) || Computer/Disc/M/Mega Man X3 (USA)/Mega Man X3 (USA).json
Computer - Disc || Messenger, The (USA) || Computer/Disc/M/Messenger, The (USA)/Messenger, The (USA).json
Computer - Disc || Moon Hunters (USA) || Computer/Disc/M/Moon Hunters (USA)/Moon Hunters (USA).json
